ref0034;Honey Shea Co-Wash Keracare Natural Texture;;Formulé à base d\'ingrédients naturels comme le Miel, le beurre de Karité, les extraits d\'Amla et de Shikakai, le Neem, les huiles d\'Argan, d\'Abyssinie et de Ricin, Honey Shea Co-Wash de Keracare Natural Textures lave efficacement et en douceur les cheveux afro. Ils sont plus forts, plus brillants et plus faciles à démêler. ;honey-shea-co-wash--keracare-co-wash--co-wash-cheveux--co-wash-honey--co-wash-cheveux-crepus-p-image-260793-petite.png
ref0035;Crème sucrée Les Délices d\'Azylis;;Crème sucrée Les Délices d\'Azylis;creme-sucree-les-delices-d-azylis-p-image-265859-petite.png
ref0036;Base Neutre Shampoing sans Sulfate Waam-;;Cette base shampooing sans sulfate produit une mousse abondante pour nettoyer et démêler les cheveux en profondeur sans dessécher. Neutre et enrichie en Aloe et glycérine végétale, elle convient à un usage fréquent, pour toute la famille. -;base-neutre-shampoing-sans-sulfate-waam--p-image-266792-petite.png
ref0037;As I Am Curl Clarity Shampoo ;;Curl Clarity de AS I AM est un shampoing clarifiant qui nettoie et élimine tous les résidus et produits accumulés sur votre cuir chevelu. Sans sulfate, il préserve la couleur des cheveux colorés et permet à vos boucles de retrouver leur vigueur.;as-i-am-curl-clarity-shampoo--p-image-266815-petite.png
ref0038;Total Body Shampoo Taliah Waajid;;shampoing Sans silicone. Idéal cheveux afro. Il pénètre en profondeur pour restaurer l\'hydratation, restructurer et promouvoir une croissance plus active.;total-body-shampoo-taliah-waajid-p-image-257769-petite.png
ref0039;Shampoing SJR Détox Gommant et Anti-Pelliculaire;;Le shampoing détoxifie nettoie et purifie le cuir chevelu grace à sont actif bio anti pelliculaire le bois de panama complété par les poudres de coco et bambou qui vont gommer et éliminer toutes les impuretés collées aux racines. Il contient également un actif naturel, le syricalm qui apaise les cuirs chevelu les plus irrités et fragilisés.;shampoing-sjr-detox-gommant-et-anti-pelliculaire-p-image-267269-petite.png
ref0040;Shampoing Crème nettoyant Thermal Wonder ;;Shampoing Crème nettoyant Thermal Wonder ;shampoing-creme-nettoyant-thermal-wonder-------p-image-267024-petite.png
ref0041;Shampooing Pure Curls Clarifying Shampoo Curls ;;Shampoing clarifiant détoxifiant sans sulfate pour cheveux afro, crépus, frisés ou bouclés. ;shampooing-pure-curls-clarifying-shampoo-curls--p-image-260661-petite.png
ref0042;Shampooing Antipelliculaire Keracare;; shampoing qui traite avec efficacité les pellicules sur cheveux afro et évitent les recidives;shampooing-antipelliculaire-keracare-p-image-258704-petite.png
ref0043;Crème Nettoyante Keracare Natural Textures;; lave les cheveux et le cuir chevelu. Les démangeaisons du cuir chevelu sont apaisées. Les résidus de coiffage sont parfaitement éliminés.les cheveux sont plus souples et faciles à coiffer. ;creme-nettoyante-keracare-natural-textures-p-image-260508-petite.png
ref0044;Shampoing Romarin & Noix de Coco Curls Unleashed;;Shampoing Romarin & Noix de Coco Curls Unleashed;shampoing-romarin---noix-de-coco-curls-unleashed-p-image-265376-petite.png
ref0045;Shampooing Clarifiant Nappy Queen;;Ce shampooing clarifiant fluide nettoie en profondeur et élimine les dépôts et résidus sans froisser ni assécher la structure des boucles. Il purifie les cheveux crépus locksés, les cheveux secs ou bouclés.;shampooing-clarifiant-nappy-queen-p-image-266891-petite.png
ref0046;Shampoing Perfect Clean Les Secrets de Loly;;Le shampooing Perfect Clean garantit un bon équilibre et nettoie les cheveux en douceur sans dessécher. Il convient aux cheveux naturels, traités chimiquement, bouclés, frisés, crépus, et même lisses.;shampoing-perfect-clean-les-secrets-de-loly-p-image-260064-petite.png
ref0047;Fruit Fusion Coconut Water Weightless Shampoo;;Fruit Fusion Coconut Water Weightless Shampoo;fruit-fusion-coconut-water-weightless-shampoo-p-image-267189-petite.png
ref0048;Shampoing enfant Frizouilles et Cie;;le shampoing démêlant et hydratant pour enfant, il lave en douceur, démêle, prépare au coiffage et redéfinit les boucles des cheveux bouclés, frisés, métissés ou crépus naturels.;shampoing-enfant-frizouilles-et-cie-p-image-259804-petite.png
ref0049;Shampooing Doux Nappy Queen;;Un shampooing nourrissant qui nettoie délicatement les cheveux cheveux bouclés, frisés, crépus et défrisés en leur donnant vitalité et élasticité. Démêle en préservant de la déshydratation.;shampooing-doux-nappy-queen-p-image-266890-petite.png
ref0050;Shampoing Curls Blueberry Bliss Reparative HAIR WASH;;Sans Sulfates, Silicones, Parabene, ni huiles minérales, la formule ultra douce du Shampooing Reparative Hair Wash de la gamme Bluberry bliss de la marque CURLS a de nombreux ingrédients naturels. Conçu pour les cheveux naturellement bouclés, frisés, ondulés ou crépus, il lave en douceur hydrate les cheveux en profondeur et peut être utilisé tous les jours. Contenance : 240ml;shampoing-curls-blueberry-bliss-reparative-hair-wash-p-image-267066-petite.png
ref0051;Lot de 6 Savons Dudu Osun Tropical Naturals;;Lot de 6 Savons Dudu Osun Tropical Naturals;lot-de-6-savons-dudu-osun-tropical-naturals-p-image-267714-petite.png
ref0052;Crème de Shampooing Bio Noire o Naturel;;Crème de shampooing sans sulfate composée de beurres végétaux et d\'aloe vera bio reconnus pour leurs bienfaits capillaires. Sa base lavante végétale extra-douce lui confère sa texture crémeuse, non-moussante, pour nettoyer le cheveu en douceur.;creme-de-shampooing-bio-noire-o-naturel-p-image-259183-petite.png
ref0053;Gentle Clarifying Shampoo Mixed Chicks ;;Shampoing pour cheveux bouclés et métissés;gentle-clarifying-shampoo-mixed-chicks-p-image-258873-petite.png
ref0054;Shampooing sans sulfate Mixed Chicks;;Shampooing Mixed Chicks sans Sulfate lave en douceur les cheveux frisés, bouclés.;shampooing--mixed-chicks-sans-sulfate-p-image-259199-petite.png
ref0055;Gentle Lather Shampoo;;Ses agents lavants doux nettoient en profondeur sans décaper. Sans hydratant gras, Gentle Lather Shampoo de Jessicurl n\'alourdit pas les cheveux. Les boucles sont propres, douces et bien définies.;gentle-lather-shampoo-p-image-260554-petite.png
